createDate,taskName,mode,weaponName,map,version,timeToTrace,linesTotal,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
03/02/2021 02:28:13,linetrace,10,9mm,0,-gitBranch.285,1.0,39,71.80772,100.0,67.0,82.0,89.0,77.0,92.0,100.0,91.0,1489.0605476379396,1296.9662221272788,1596.6636629971592,1413.0187445746528,1276.2131591796876,1476.7406381460337,1864.3423258463542,1491.0983537946429,1567.1389838324651,40,94,0.670719266,80
02/24/2021 04:34:42,linetrace,0,9mm,0,-gitBranch.285,1.0,38,80.4646454,90.0,92.0,85.0,85.0,90.0,88.0,90.0,90.0,1536.531650295505,1382.5856628417969,1356.4820334694602,1566.1624501546223,1431.9400259164663,1744.9337921142578,1651.6750081380208,1735.6234130859375,1671.569091796875,39,87,0.644135833,77
02/24/2021 04:33:26,linetrace,0,9mm,0,-gitBranch.285,1.0,37,78.26226,91.0,91.0,73.0,100.0,77.0,91.0,100.0,83.0,1577.2694301350909,1344.1397247314455,1509.8867187499998,1503.4205496651787,1651.7339739118304,1704.5233968098958,1625.3832153320313,1652.6571197509766,1639.53515625,38,86,0.62716794,75
02/23/2021 17:01:42,linetrace,10,9mm,0,-gitBranch.285,1.0,40,73.0192,100.0,71.0,100.0,87.0,85.0,100.0,82.0,100.0,1452.7940396564761,1403.01580174764,1522.6556396484375,1355.2646373401988,1365.5413041548295,1521.3092151988637,1540.0128021240237,1522.0954764229912,1445.9701926491477,41,92,0.6858301,82
02/22/2021 23:33:00,linetrace,10,9mm,0,-gitBranch.285,1.0,36,76.43493,83.0,82.0,82.0,73.0,100.0,91.0,62.0,75.0,1623.0890966964096,1294.8309539794923,1416.4442477756077,1460.5774468315972,1428.9398871527778,1542.8411051432292,1753.5279693603516,2204.6452840169268,2101.3351562499997,37,91,0.61068815,73
02/22/2021 23:31:34,linetrace,10,9mm,0,-gitBranch.285,1.0,39,71.1648941,90.0,82.0,83.0,73.0,79.0,85.0,100.0,100.0,1505.2339713181123,1254.3035583496094,1270.4412318638394,1534.9841376410591,1286.7330932617188,1633.5816838191106,1738.3202903053977,1541.7890896267361,1591.8350931803386,40,92,0.661558568,79
02/22/2021 23:30:22,linetrace,10,9mm,0,-gitBranch.285,1.0,38,76.82691,100.0,100.0,91.0,100.0,100.0,100.0,89.0,73.0,1535.8470256854962,1371.1200439453125,1391.3690429687501,1340.1706570712001,1524.1174452039932,1577.7912819602273,1704.9861450195313,1715.4977852957591,1751.3717583550347,39,82,0.644496858,77
02/22/2021 23:28:58,linetrace,10,9mm,0,-gitBranch.285,2.0,34,83.69722,90.0,89.0,100.0,86.0,100.0,89.0,67.0,100.0,1704.1742527553015,1426.8346557617188,1702.8882514105903,1657.6628861860795,1563.3270772298176,1861.3042127821182,1880.8386056082591,1713.8825988769531,2071.9524274553573,35,79,0.5860499,70
02/22/2021 23:27:11,linetrace,10,9mm,0,-gitBranch.285,2.0,30,86.87344,100.0,80.0,100.0,88.0,100.0,67.0,88.0,88.0,1944.7962376328765,1485.5239196777343,1831.1331634521484,1694.1542445591517,1777.1713562011719,2082.2438354492188,2473.9148821149556,2246.134806315104,2228.5216761997767,31,71,0.5114445,61
02/22/2021 21:17:37,linetrace,10,9mm,0,-gitBranch.285,2.0,33,74.7409,90.0,90.0,73.0,90.0,89.0,82.0,100.0,100.0,1741.5978196088006,1421.2542724609375,1836.3525933159722,1777.5773162841797,1551.3414916992188,1820.7969818115234,2147.2068917410716,1807.2451171875,1737.5146484374998,34,77,0.568873763,68
02/21/2021 23:42:50,linetrace,0,9mm,0,-gitBranch.285,2.0,34,76.79452,89.0,90.0,100.0,82.0,75.0,100.0,100.0,90.0,1689.8241616385328,1435.9617170854049,1642.1061062282986,1457.7463531494141,1558.1007622612847,2076.5746256510415,1718.4778878348213,1807.5863189697266,1872.1191541883682,35,78,0.58578974,70
02/21/2021 02:53:31,linetrace,0,9mm,0,-gitBranch.285,2.0,34,80.48345,83.0,100.0,100.0,64.0,90.0,82.0,100.0,82.0,1703.4951067243298,1469.8285411487925,1481.4831726074219,1549.8299037388394,1632.4701276506698,2122.6732313368057,1914.5182233537946,1674.4060194227429,1841.0270751953126,35,81,0.585863352,70
02/21/2021 02:52:04,linetrace,0,9mm,0,-gitBranch.285,2.0,34,80.44951,100.0,80.0,71.0,90.0,100.0,80.0,100.0,82.0,1729.5451523048293,1314.253679063585,1556.6016845703125,1588.4818386501736,1432.3708224826391,1697.1767425537109,2289.8704528808594,2136.9878879123266,1804.8890713778408,35,80,0.577582955,69
02/21/2021 02:50:43,linetrace,0,9mm,0,-gitBranch.285,2.0,32,80.58059,89.0,90.0,100.0,75.0,73.0,88.0,100.0,88.0,1828.6684880183293,1672.3353088378908,1695.9525824652776,1567.1323730468748,1753.15869140625,1820.3617858886719,2337.5724894205728,2139.93916015625,2017.3435516357422,33,75,0.54567,65
